path,size_bytes,extension,corpus,guessed_class
.git/objects/e4/662df7edcc66f3800ee6e3393007475dde8053,14967214,[none],unknown,other
opera/metrics/flow_up_trace.jsonl,14663427,.jsonl,unknown,other
frontier-gem/target/debug/deps/libzerocopy-2e3b36c8d80cb3a1.rlib,14647032,.rlib,unknown,other
.git/objects/b2/a3a77b4d40341dd161f02b7fd051f406030524,14639126,[none],unknown,other
rhea-cli/target/debug/deps/libzerocopy-9be9e6399c222bce.rlib,14383752,.rlib,unknown,other
rhea-dash/target/debug/deps/libzerocopy-9be9e6399c222bce.rlib,14383752,.rlib,ui_assets,other
rhea-session-server/target/debug/deps/libzerocopy-9be9e6399c222bce.rlib,14383752,.rlib,unknown,other
.entire/metadata/29460dc4-bc34-4b0d-933f-4c6e7a63cca8/full.jsonl,14380060,.jsonl,unknown,other
.git/objects/6d/0badac031e241fa06ad2277b37f0d6b8d5fbb1,14347636,[none],unknown,other
frontier-gem/target/debug/deps/libzerocopy-2e3b36c8d80cb3a1.rmeta,14231230,.rmeta,unknown,other
rhea-cli/target/release/deps/libzerocopy-4f3d7db8ec43c221.rlib,14216664,.rlib,unknown,other
rhea-session-server/target/release/deps/libzerocopy-4f3d7db8ec43c221.rlib,14216664,.rlib,unknown,other
packages/RheaKit/.build/index-build/arm64-apple-macosx/debug/ModuleCache/Swift-1IONWQPHU3SPR.swiftmodule,14151984,.swiftmodule,ui_assets,other
rhea-cli/target/debug/deps/libzerocopy-9be9e6399c222bce.rmeta,13967952,.rmeta,unknown,other
rhea-dash/target/debug/deps/libzerocopy-9be9e6399c222bce.rmeta,13967952,.rmeta,ui_assets,other
rhea-session-server/target/debug/deps/libzerocopy-9be9e6399c222bce.rmeta,13967952,.rmeta,unknown,other
.git/objects/1a/b0e665aec64e5bf31f3135cc318ae60aaa95d7,13967251,[none],unknown,other
rhea-cli/target/release/deps/libzerocopy-4f3d7db8ec43c221.rmeta,13964573,.rmeta,unknown,other
rhea-session-server/target/release/deps/libzerocopy-4f3d7db8ec43c221.rmeta,13964573,.rmeta,unknown,other
.git/objects/53/5e14dc7aef19663afa3bcfc1088ff736881d1c,13938163,[none],unknown,other
.venv/lib/python3.11/site-packages/qiskit/_accelerate.abi3.so,13874176,.so,unknown,binary_artifact
.git/objects/46/8dd51d803f1d5180a3404952fc356245ddad3e,13439679,[none],unknown,other
.git/objects/06/0b23f9f9be73068d9a7914bfa3a622c896fb99,13391507,[none],unknown,other
frontier-gem/target/debug/incremental/frontier_gem-2g2lvwsnhqtbo/s-hgelwsugx1-0misuk6-d3unbbcvyjdxyjadejll08iu7/dep-graph.bin,13379755,.bin,unknown,binary_artifact
.git/objects/61/1799c5914cc1974b12bdcd2caac235b3ddec98,13340997,[none],unknown,other
.git/objects/7f/831de4e4a5aadccaf1f07265b9a9bb14598819,13261567,[none],unknown,other
.git/objects/f5/d86bd84ff9d4652cbf9d183e5fb882112b4ca5,13184339,[none],unknown,other
.git/objects/a3/fcea109124c35fbabc85eba7856111ac699907,13166848,[none],unknown,other
.git/objects/c1/98c3e8ef49edc554d0a1c99ae37984f11b3da0,13158554,[none],unknown,other
.git/objects/be/ab0b74e9c16ff3cb4b0974945aa6cfe69232b8,13141810,[none],unknown,other
.git/objects/51/42206f438b169194761e76249f5d53921d73dc,13130123,[none],unknown,other
frontier-gem/target/debug/incremental/frontier_gem-2g2lvwsnhqtbo/s-hgeln3jdxr-1rknjrr-ahunnxyo7z4o6h7y2skr7atek/dep-graph.bin,13125354,.bin,unknown,binary_artifact
.git/objects/43/7e2643225065fbdf01c1227553568d113306f7,13111088,[none],unknown,other
.git/objects/9c/d3f644b8f2ea4a6b4c122a0c8d196b59cf9196,13100596,[none],unknown,other
.git/objects/1b/a0c536ba4614368df4858ef418cdb04a1a3076,13082752,[none],unknown,other
.git/objects/e4/8c6546efdab3c3abee9f4d9eb7fc2a52dd8c94,13079845,[none],unknown,other
.git/objects/29/13aadad5adaf2423bd616708add77c72c5a3f6,13058974,[none],unknown,other
.git/objects/71/2f51d819dd473297584597148ff7e754fc487d,13005619,[none],unknown,other
.git/objects/9f/f025ff9e374bb8745d12a18cb894ca9475554f,12988692,[none],unknown,other
.git/objects/92/273b654cf331b1e0b246117728dd2700ec348c,12957602,[none],unknown,other
.git/objects/84/f09e7e70e20e18957a4b0aef876957f4d5ac89,12893995,[none],unknown,other
.git/objects/e8/bff271bf29c7fc4a65c59a5f8ae1eafec79cbe,12879912,[none],unknown,other
.git/objects/64/26d2c47b8c92107e446d3cea39ed2d861c0ae5,12850112,[none],unknown,other
.git/objects/e0/3584c2deed61d84c07a608693f6e834c97acb0,12760400,[none],unknown,other
frontier-gem/target/debug/deps/libzerocopy-a272420e4f72a622.rmeta,12751735,.rmeta,unknown,other
rhea-dash/target/debug/deps/libmetal-949b0734d66e4f8b.rlib,12733800,.rlib,ui_assets,other
.git/objects/73/1cd7cf9ba86dba1849dfc13b9c6db21539ef3d,12721487,[none],unknown,other
.git/objects/40/7e0829a418df5a6b05dfe12598be8a0dfb0736,12707093,[none],unknown,other
.git/objects/be/727bcef29034524c07a2be665f5f7308255500,12571049,[none],unknown,other
.git/objects/da/b472f12f11ebd63585ed20e243824b1f626ede,12548054,[none],unknown,other
.git/objects/e1/9cbc497494f5f88b437a8ed00dac26cfe82c6a,12511479,[none],unknown,other
.git/objects/d6/c2a086af9a6c76cb0ea2c5ffdfbc5aa77ed45e,12454506,[none],unknown,other
