"status","url","link text","redirect","On page"
"404 not found","https://docs.createwithplay.com/en/articles/navigate-play-s-macos-editor#device-and-orientation","orientation","","https://docs.createwithplay.com/en/articles/editor#design"
"404 not found","https://docs.createwithplay.com/en/articles/introduction-to-interactions","Interaction","","https://docs.createwithplay.com/en/articles/editor#design"
"404 not found","https://docs.createwithplay.com/en/articles/adding-objects-to-your-design","here","","https://docs.createwithplay.com/en/articles/editor#design"
"404 not found","https://docs.createwithplay.com/en/articles/overview-of-the-attribute-panels","attribute panels","","https://docs.createwithplay.com/en/articles/design-mode#content-area"
"404 not found","https://docs.createwithplay.com/en/articles/adding-objects-to-your-design","adding elements to your page","","https://docs.createwithplay.com/en/articles/elements"
"404 not found","https://docs.createwithplay.com/en/articles/overview-of-the-attribute-panels","attribute panels","","https://docs.createwithplay.com/en/articles/design-mode#design-with-structure"
"404 not found","https://docs.createwithplay.com/en/articles/overview-of-the-attribute-panels","attribute panels","","https://docs.createwithplay.com/en/articles/design-mode#overview"
"404 not found","https://docs.createwithplay.com/en/articles/overview-of-the-attribute-panels","attribute panels","","https://docs.createwithplay.com/en/articles/design-mode#design-mode-ui"
"404 not found","https://docs.createwithplay.com/en/articles/overview-of-the-attribute-panels","attribute panels","","https://docs.createwithplay.com/en/articles/design-mode#add-objects"
"404 not found","https://docs.createwithplay.com/en/articles/overview-of-the-attribute-panels","attribute panels","","https://docs.createwithplay.com/en/articles/design-mode#attribute-panels"
"404 not found","https://docs.createwithplay.com/en/articles/overview-of-the-attribute-panels","attribute panels","","https://docs.createwithplay.com/en/articles/design-mode#layers-styles-variables-code-events-and-ai-panels"
"404 not found","https://docs.createwithplay.com/en/articles/explore-section","Learn section","","https://docs.createwithplay.com/en/articles/getting-started#resources-and-support"
"404 not found","https://docs.createwithplay.com/en/articles/explore-section","Learn section","","https://docs.createwithplay.com/en/articles/getting-started#share-&-ship-with-play"
"404 not found","https://createwithplay.com/pricing","pricing page","","https://docs.createwithplay.com/en/articles/plans-and-upgrades#upgrading-downgrading-and-canceling-plans"
"404 not found","https://createwithplay.com/pricing","pricing page","","https://docs.createwithplay.com/en/articles/plans-and-upgrades#upgrading-downgrading-and-canceling-plans"
"404 not found","https://createwithplay.com/pricing","pricing page","","https://docs.createwithplay.com/en/articles/plans-and-upgrades#upgrading-downgrading-and-canceling-plans"
"404 not found","https://createwithplay.com/pricing","pricing page","","https://docs.createwithplay.com/en/articles/plans-and-upgrades#paid-plans"
"404 not found","https://createwithplay.com/pricing","pricing page","","https://docs.createwithplay.com/en/articles/plans-and-upgrades#paid-plans"
"404 not found","https://createwithplay.com/pricing","pricing page","","https://docs.createwithplay.com/en/articles/plans-and-upgrades#paid-plans"
"404 not found","https://createwithplay.com/pricing","pricing page","","https://docs.createwithplay.com/en/articles/plans-and-upgrades#overview"
"404 not found","https://createwithplay.com/pricing","pricing page","","https://docs.createwithplay.com/en/articles/plans-and-upgrades#overview"
"404 not found","https://createwithplay.com/pricing","pricing page","","https://docs.createwithplay.com/en/articles/plans-and-upgrades#overview"
"404 not found","https://createwithplay.com/pricing","pricing page","","https://docs.createwithplay.com/en/articles/plans-and-upgrades#content-area"
"404 not found","https://createwithplay.com/pricing","pricing page","","https://docs.createwithplay.com/en/articles/plans-and-upgrades#content-area"
"404 not found","https://createwithplay.com/pricing","pricing page","","https://docs.createwithplay.com/en/articles/plans-and-upgrades#content-area"
"404 not found","https://createwithplay.com/pricing","pricing page","","https://docs.createwithplay.com/en/articles/plans-and-upgrades#student-discounts"
"404 not found","https://createwithplay.com/pricing","pricing page","","https://docs.createwithplay.com/en/articles/plans-and-upgrades#student-discounts"
